id_car2,C,12;id_commune,C,10;id_ins_1,C,10;id_epci
00135-08555;00135;0000-0353;000000000
00135-08556;00135;0000-0354;000000000
00135-08557;00135;0000-0354;000000000
00135-08558;00135;0000-0354;000000000
00135-08559;00135;0000-0354;000000000
00135-08560;00135;0000-0354;000000000
00135-08561;00135;0000-0355;000000000
00135-08562;00135;0000-0355;000000000
00135-08563;00135;0000-0355;000000000
00135-08564;00135;0000-0355;000000000
00135-08565;00135;0000-0355;000000000
00135-08566;00135;0000-0356;000000000
00135-08567;00135;0000-0356;000000000
00135-08568;00135;0000-0356;000000000
00135-08569;00135;0000-0356;000000000
00135-08570;00135;0000-0356;000000000
00135-08571;00135;0000-0357;000000000
00135-08572;00135;0000-0357;000000000
00135-08573;00135;0000-0357;000000000
00135-08574;00135;0000-0357;000000000
00135-08575;00135;0000-0357;000000000
00135-08576;00135;0000-0358;000000000
00135-08577;00135;0000-0358;000000000
00135-08578;00135;0000-0358;000000000
00135-08579;00135;0000-0358;000000000
00135-08580;00135;0000-0358;000000000
00135-08581;00135;0000-0359;000000000
00135-08582;00135;0000-0359;000000000
00037-08583;00037;0000-0359;000000000
00284-08641;00284;0000-0346;000000000
00284-08642;00284;0000-0347;000000000
00284-08643;00284;0000-0347;000000000
00284-08644;00284;0000-0347;000000000
00284-08645;00284;0000-0347;000000000
00284-08646;00284;0000-0347;000000000
00284-08647;00284;0000-0348;000000000
00284-08648;00284;0000-0348;000000000
00284-08649;00284;0000-0348;000000000
00165-08650;00165;0000-0348;000000000
00165-08651;00165;0000-0348;000000000
00165-08652;00165;0000-0349;000000000
00165-08653;00165;0000-0349;000000000
00165-08654;00165;0000-0349;000000000
00165-08655;00165;0000-0349;000000000
00165-08656;00165;0000-0349;000000000
00165-08657;00165;0000-0350;000000000
00165-08658;00165;0000-0350;000000000
00165-08659;00165;0000-0350;000000000
00165-08660;00165;0000-0350;000000000
00165-08661;00165;0000-0350;000000000
00165-08662;00165;0000-0351;000000000
00165-08663;00165;0000-0351;000000000
00165-08664;00165;0000-0351;000000000
00165-08665;00165;0000-0351;000000000
00165-08666;00165;0000-0351;000000000
00165-08667;00165;0000-0352;000000000
00165-08668;00165;0000-0352;000000000
00165-08669;00165;0000-0352;000000000
00135-08670;00135;0000-0352;000000000
00135-08671;00135;0000-0352;000000000
00135-08672;00135;0000-0353;000000000
00135-08673;00135;0000-0353;000000000
00135-08674;00135;0000-0353;000000000
00135-08675;00135;0000-0353;000000000
00135-08676;00135;0000-0353;000000000
00135-08677;00135;0000-0354;000000000
00135-08678;00135;0000-0354;000000000
00135-08679;00135;0000-0354;000000000
00135-08680;00135;0000-0354;000000000
00135-08681;00135;0000-0354;000000000
00135-08682;00135;0000-0355;000000000
00135-08683;00135;0000-0355;000000000
00135-08684;00135;0000-0355;000000000
00135-08685;00135;0000-0355;000000000
00135-08686;00135;0000-0355;000000000
00135-08687;00135;0000-0356;000000000
00135-08688;00135;0000-0356;000000000
00135-08689;00135;0000-0356;000000000
00135-08690;00135;0000-0356;000000000
00135-08691;00135;0000-0356;000000000
00135-08692;00135;0000-0357;000000000
00135-08693;00135;0000-0357;000000000
00135-08694;00135;0000-0357;000000000
00135-08695;00135;0000-0357;000000000
00135-08696;00135;0000-0357;000000000
00135-08697;00135;0000-0358;000000000
00135-08698;00135;0000-0358;000000000
00135-08699;00135;0000-0358;000000000
00135-08700;00135;0000-0358;000000000
00135-08701;00135;0000-0358;000000000
00135-08702;00135;0000-0359;000000000
00135-08703;00135;0000-0359;000000000
00135-08704;00135;0000-0359;000000000
00284-08762;00284;0000-0346;000000000
00284-08763;00284;0000-0347;000000000
00284-08764;00284;0000-0347;000000000
00284-08765;00284;0000-0347;000000000
00284-08766;00284;0000-0347;000000000
00284-08767;00284;0000-0347;000000000
00284-08768;00284;0000-0348;000000000
00284-08769;00284;0000-0348;000000000
00284-08770;00284;0000-0348;000000000
00284-08771;00284;0000-0348;000000000
00165-08772;00165;0000-0348;000000000
00165-08773;00165;0000-0349;000000000
00165-08774;00165;0000-0349;000000000
00165-08775;00165;0000-0349;000000000
00165-08776;00165;0000-0349;000000000
00165-08777;00165;0000-0349;000000000
00165-08778;00165;0000-0350;000000000
00165-08779;00165;0000-0350;000000000
00165-08780;00165;0000-0350;000000000
00165-08781;00165;0000-0350;000000000
00165-08782;00165;0000-0350;000000000
00165-08783;00165;0000-0351;000000000
00165-08784;00165;0000-0351;000000000
00165-08785;00165;0000-0351;000000000
00165-08786;00165;0000-0351;000000000
00165-08787;00165;0000-0351;000000000
00165-08788;00165;0000-0352;000000000
00165-08789;00165;0000-0352;000000000
00165-08790;00165;0000-0352;000000000
00135-08791;00135;0000-0352;000000000
00135-08792;00135;0000-0352;000000000
00135-08793;00135;0000-0353;000000000
00135-08794;00135;0000-0353;000000000
00135-08795;00135;0000-0353;000000000
00135-08796;00135;0000-0353;000000000
00135-08797;00135;0000-0353;000000000
00135-08798;00135;0000-0354;000000000
00135-08799;00135;0000-0354;000000000
00135-08800;00135;0000-0354;000000000
00135-08801;00135;0000-0354;000000000
00135-08802;00135;0000-0354;000000000
00135-08803;00135;0000-0355;000000000
00135-08804;00135;0000-0355;000000000
00135-08805;00135;0000-0355;000000000
00135-08806;00135;0000-0355;000000000
00135-08807;00135;0000-0355;000000000
00135-08808;00135;0000-0356;000000000
00135-08809;00135;0000-0356;000000000
00135-08810;00135;0000-0356;000000000
00135-08811;00135;0000-0356;000000000
00135-08812;00135;0000-0356;000000000
00135-08813;00135;0000-0357;000000000
00135-08814;00135;0000-0357;000000000
00135-08815;00135;0000-0357;000000000
00135-08816;00135;0000-0357;000000000
00135-08817;00135;0000-0357;000000000
00135-08818;00135;0000-0358;000000000
00135-08819;00135;0000-0358;000000000
00135-08820;00135;0000-0358;000000000
00135-08821;00135;0000-0358;000000000
00135-08822;00135;0000-0358;000000000
00135-08823;00135;0000-0359;000000000
00135-08824;00135;0000-0359;000000000
00135-08825;00135;0000-0359;000000000
00284-08883;00284;0000-0346;000000000
00284-08884;00284;0000-0347;000000000
00284-08885;00284;0000-0347;000000000
00284-08886;00284;0000-0347;000000000
00284-08887;00284;0000-0347;000000000
00284-08888;00284;0000-0347;000000000
00284-08889;00284;0000-0348;000000000
00284-08890;00284;0000-0348;000000000
00284-08891;00284;0000-0348;000000000
00284-08892;00284;0000-0348;000000000
00165-08893;00165;0000-0348;000000000
00165-08894;00165;0000-0349;000000000
00165-08895;00165;0000-0349;000000000
00165-08896;00165;0000-0349;000000000
00165-08897;00165;0000-0349;000000000
00165-08898;00165;0000-0349;000000000
00165-08899;00165;0000-0350;000000000
00165-08900;00165;0000-0350;000000000
00165-08901;00165;0000-0350;000000000
00165-08902;00165;0000-0350;000000000
00165-08903;00165;0000-0350;000000000
00165-08904;00165;0000-0351;000000000
00165-08905;00165;0000-0351;000000000
00165-08906;00165;0000-0351;000000000
00165-08907;00165;0000-0351;000000000
00165-08908;00165;0000-0351;000000000
00165-08909;00165;0000-0352;000000000
00165-08910;00165;0000-0352;000000000
00135-08911;00135;0000-0352;000000000
00135-08912;00135;0000-0352;000000000
00135-08913;00135;0000-0352;000000000
00135-08914;00135;0000-0353;000000000
00135-08915;00135;0000-0353;000000000
00135-08916;00135;0000-0353;000000000
00135-08917;00135;0000-0353;000000000
00135-08918;00135;0000-0353;000000000
00135-08919;00135;0000-0354;000000000
00135-08920;00135;0000-0354;000000000
00135-08921;00135;0000-0354;000000000
00135-08922;00135;0000-0354;000000000
00135-08923;00135;0000-0354;000000000
00135-08924;00135;0000-0355;000000000
00135-08925;00135;0000-0355;000000000
00135-08926;00135;0000-0355;000000000
00135-08927;00135;0000-0355;000000000
00135-08928;00135;0000-0355;000000000
00135-08929;00135;0000-0356;000000000
00135-08930;00135;0000-0356;000000000
00135-08931;00135;0000-0356;000000000
00135-08932;00135;0000-0356;000000000
00135-08933;00135;0000-0356;000000000
00135-08934;00135;0000-0357;000000000
00135-08935;00135;0000-0357;000000000
00135-08936;00135;0000-0357;000000000
00135-08937;00135;0000-0357;000000000
00135-08938;00135;0000-0357;000000000
00135-08939;00135;0000-0358;000000000
00135-08940;00135;0000-0358;000000000
00135-08941;00135;0000-0358;000000000
00135-08942;00135;0000-0358;000000000
00135-08943;00135;0000-0358;000000000
00135-08944;00135;0000-0359;000000000
00135-08945;00135;0000-0359;000000000
00135-08946;00135;0000-0359;000000000
00135-08947;00135;0000-0359;000000000
00284-09004;00284;0000-0346;000000000
00284-09005;00284;0000-0347;000000000
00284-09006;00284;0000-0347;000000000
00284-09007;00284;0000-0347;000000000
00284-09008;00284;0000-0347;000000000
00284-09009;00284;0000-0347;000000000
00284-09010;00284;0000-0348;000000000
00284-09011;00284;0000-0348;000000000
00284-09012;00284;0000-0348;000000000
00284-09013;00284;0000-0348;000000000
00165-09014;00165;0000-0348;000000000
00165-09015;00165;0000-0349;000000000
00165-09016;00165;0000-0349;000000000
00165-09017;00165;0000-0349;000000000
00165-09018;00165;0000-0349;000000000
00165-09019;00165;0000-0349;000000000
00165-09020;00165;0000-0350;000000000
00165-09021;00165;0000-0350;000000000
00165-09022;00165;0000-0350;000000000
00165-09023;00165;0000-0350;000000000
00165-09024;00165;0000-0350;000000000
00165-09025;00165;0000-0351;000000000
00165-09026;00165;0000-0351;000000000
00165-09027;00165;0000-0351;000000000
00165-09028;00165;0000-0351;000000000
00165-09029;00165;0000-0351;000000000
00165-09030;00165;0000-0352;000000000
00165-09031;00165;0000-0352;000000000
00135-09032;00135;0000-0352;000000000
00135-09033;00135;0000-0352;000000000
00135-09034;00135;0000-0352;000000000
00135-09035;00135;0000-0353;000000000
00135-09036;00135;0000-0353;000000000
00135-09037;00135;0000-0353;000000000
00135-09038;00135;0000-0353;000000000
00135-09039;00135;0000-0353;000000000
00135-09040;00135;0000-0354;000000000
00135-09041;00135;0000-0354;000000000
00135-09042;00135;0000-0354;000000000
00135-09043;00135;0000-0354;000000000
00135-09044;00135;0000-0354;000000000
00135-09045;00135;0000-0355;000000000
00135-09046;00135;0000-0355;000000000
00135-09047;00135;0000-0355;000000000
00135-09048;00135;0000-0355;000000000
00135-09049;00135;0000-0355;000000000
00135-09050;00135;0000-0356;000000000
00135-09051;00135;0000-0356;000000000
00135-09052;00135;0000-0356;000000000
00135-09053;00135;0000-0356;000000000
00135-09054;00135;0000-0356;000000000
00135-09055;00135;0000-0357;000000000
